HCT						
Reference File	0579					
MEASURE_DATE	12/15/2012  # Time: 07:25					
BEGIN_CODE						
MONTH	11					
DAY	20					
YEAR	2005					
MEDIA_MANUFACTURER	FUJI					
MEDIA_CODE	CRA					
MEDIA_TYPE	REFLECTION					
MEDIA_SIZE	5x7					
END_CODE						
BEGIN_LAYOUT						
ROWS_ALPHA	22					
COLUMNS_NUMERIC	29					
PATCHES_ACTIVE	528					
END_LAYOUT						
BEGIN_DATA_FORMAT						
SAMPLE_ID	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT						
BEGIN_DATA						
A1	74.26	76.72	64.41	90.19	0.57	-1.07
A15	0.49	0.53	0.52	4.77	-0.78	-1.66
A16	74.44	76.84	64.39	90.25	0.74	-0.96
A29	74.25	76.68	64.37	90.17	0.66	-1.07
B1	0.5	0.54	0.53	4.87	-0.73	-1.6
B2	21.03	9.4	23.08	36.75	73.58	-39.86
B3	27.33	14.04	30.01	44.29	68.57	-38.83
B4	34.19	20.72	36.62	52.64	58.06	-34.23
B5	45.56	33.75	46.5	64.76	41.32	-25.97
B6	59.04	52.38	56.18	77.51	21.54	-14.75
B7	74.63	76.99	64.41	90.32	0.81	-0.87
B8	67.95	71.21	36.35	87.59	-1.54	26.41
B9	52.86	47.61	31.93	74.58	18.8	10.41
B10	40.61	30.71	27.1	62.26	37.48	-3.06
B11	30.74	19.09	22.45	50.8	53.66	-14.45
B12	24.8	13.2	19.01	43.07	63.4	-20.77
B13	19.26	8.95	14.91	35.89	68.62	-23.63
B14	67.52	65.78	60.7	84.88	9.15	-6.62
B15	63.16	62.68	60.57	83.28	6.32	-9.27
B16	58	59.64	59.58	81.64	1.21	-11.09
B17	62.09	66.92	61.86	85.47	-5.59	-6.77
B18	63.75	69.58	62.98	86.79	-7.48	-5.57
B19	62.46	68.65	56.73	86.33	-8.44	-0.11
B20	61.01	67.47	49.64	85.74	-9.3	6.56
B21	67	71.6	49.84	87.78	-4.45	9.84
B22	71.25	74.4	50.27	89.11	-1.01	11.66
B23	68.59	70.07	49.08	87.03	2.24	9.43
B24	63.99	62.64	47.49	83.25	8.32	4.74
B25	66.12	64.32	55.59	84.13	9.3	-2.7
B26	71.22	74.58	63.33	89.19	-1.44	-1.76
B27	73.39	75.76	63.44	89.75	0.71	-0.91
B28	68.47	70.3	57.05	87.14	1.51	0.96
B29	0.48	0.51	0.52	4.61	-0.52	-1.77
C1	20.53	21.07	17.46	53.02	1.06	-0.19
C2	13.92	6.29	22.25	30.13	63.47	-49.69
